,id,time,pstime,mag,lat,lon,depth
33,995,15691.220594990082,3.87,3.123126985113432,33.74904935156913,-116.6129,0
34,1019,15711.346981597222,5.32,3.332109468600728,33.82279836946591,-116.6129,0
35,1101,15775.705628273807,2.71,4.386517073310554,33.690003575027184,-116.6129,0
36,1190,15784.326595701054,4.77,3.1540960114377703,33.79483223270802,-116.6129,0
37,1220,15791.761807225532,2.7,3.703823690757953,33.68949438025286,-116.6129,0
38,1347,15820.791482655428,3.28,3.0640254970258924,33.71902260932479,-116.6129,0
39,1506,15903.588814914017,4.91,3.3463332767671234,33.801951771249726,-116.6129,0
40,1588,15952.170077711644,4.8,3.125038363517253,33.7963578989943,-116.6129,0
41,1629,15968.257454150125,4.49,4.086280352269396,33.780591342856475,-116.6129,0
42,1799,16069.772634573414,4.5,3.039569564142038,33.78109998766782,-116.6129,0
43,1800,16069.989143667326,3.55,3.07539544812314,33.73276498800919,-116.6129,0
44,1948,16166.000467162698,5.79,3.2451508474353754,33.84668930187853,-116.6129,0
45,1998,16199.20108900463,5.81,3.107415569827792,33.84770578581437,-116.6129,0
46,2169,16316.11015112434,5.55,3.36063871398672,33.8344905298597,-116.6129,0
47,2185,16322.67259527117,6.64,3.2414518777508747,33.88987894909859,-116.6129,0
48,2194,16327.928434953703,5.67,3.048695471227751,33.84059013848105,-116.6129,0
49,2238,16354.876924156748,6.67,3.086003898382331,33.89140288060089,-116.6129,0
50,2309,16408.70373009259,5.95,3.4635514464827617,33.85482082689033,-116.6129,0
51,2367,16453.558147073414,4.92,3.6612084466446095,33.80246028658486,-116.6129,0
52,2404,16473.587487433866,5.78,3.524368854900292,33.84618105527111,-116.6129,0
53,2602,16585.22498098545,6.95,3.541681691186069,33.90562489500434,-116.6129,0
54,2607,16586.543721858463,5.4,3.931847063442258,33.82686539323453,-116.6129,0
55,2851,16711.881015641542,5.52,6.795398017954925,33.832965558157184,-116.6129,0
56,2997,16809.488324305556,3.36,3.230552783359304,33.723094658590355,-116.6129,0
57,3161,16927.26358399471,4.15,3.087869731870121,33.76329558683759,-116.6129,0
58,3233,16962.356917063495,3.26,3.315850154932209,33.7180045663123,-116.6129,0
59,3256,16962.468198429237,3.26,3.1091441434891216,33.7180045663123,-116.6129,0
60,3501,17019.610652959655,5.63,3.729917819964382,33.83855698506856,-116.6129,0
61,234,17324.30040236442,5.43,3.5056316160547176,33.82839047617699,-116.6129,0
62,382,17395.590930291004,6.74,3.34773410562545,33.894958612224684,-116.6129,0
63,394,17400.34207562831,5.99,3.109518259712683,33.85685358437965,-116.6129,0
64,558,17466.330854034386,5.33,3.403616868595776,33.82330675824786,-116.6129,0
65,672,17507.165042658726,5.77,3.834187846334701,33.845672805570835,-116.6129,0
66,126,17588.78104520502,2.55,3.4699996235482944,33.68185609100936,-116.6129,0
67,209,17623.120779844572,2.46,3.271817085427013,33.67727278668144,-116.6129,0
68,263,17644.032063888888,6.16,4.156893691111782,33.865492251206774,-116.6129,0
69,270,17647.06668125,4.97,3.5117004625110084,33.805002816986885,-116.6129,0
70,272,17647.20210952381,6.77,3.1854348851225827,33.89648245067951,-116.6129,0
71,284,17651.320097900127,5.75,3.00862593222354,33.844656296892055,-116.6129,0
72,346,17670.81032174272,2.53,3.3278531670679543,33.68083760037235,-116.6129,0
73,378,17681.80702303241,6.16,4.0521562040622765,33.865492251206774,-116.6129,0
74,518,17747.575586094572,5.89,3.3132342308790275,33.85177159782421,-116.6129,0
75,539,17758.05864823082,2.47,4.177024962215868,33.677782054966194,-116.6129,0
76,718,17821.923150925926,5.95,3.241811173807275,33.85482082689033,-116.6129,0
77,784,17843.720040178578,6.36,3.1005285283655013,33.87565424293096,-116.6129,0
